date,temp,wind,rain
2013011323,-2.425,2.025,0
2013011303,-3.675,2.475,0
2013011304,-3.9,2.15,0
2013011305,-4.275,2.75,0
2013011306,-4.45,2.675,0
2013011307,-4.725,3.125,0
2013011308,-4.7,3.525,0
2013011309,-4.075,3.3,0
2013011400,-2.575,1.975,0
2013011401,-2.975,1.075,0
2013011410,-3.525,2.975,0
2013011411,-2.225,3.15,0
2013011412,-1.725,2.35,0
2013011413,-0.45,3.6,0
2013011414,-0.175,3.725,0
2013011415,-0.375,4.575,0
2013011416,-0.8,3.925,0
2013011417,-1.6,2.975,0
2013011418,-2.675,4.1,0
2013011419,-3.675,3.475,0
2013011402,-2.625,1.725,0
2013011420,-4.275,3.775,0
2013011421,-4.9,3.15,0
2013011422,-5.025,2.725,0
2013011423,-5.4,3.125,0
2013011403,-3.7,2.45,0
2013011404,-3.975,3.1,0
2013011405,-4.275,2.725,0
2013011406,-4.525,2.7,0
2013011407,-4.8,2.425,0
2013011408,-4.65,2.55,0
2013011409,-4.425,2.525,0
2013011500,-5.975,2.6,0
2013011501,-6.2,2.575,0
2013011510,-3.725,0.65,0
2013011511,-2.625,1,0
2013011512,-1.325,1.125,0
2013011513,-0.25,0.925,0
2013011514,-0.275,1.625,0
2013011515,0.05,1.55,0
2013011516,0.025,1.4,0
2013011517,-0.75,2.75,0
2013011518,-2.225,2.5,0
2013011519,-2.925,2.025,0
2013011502,-5.925,1.3,0
2013011520,-3.425,2.375,0
2013011521,-3.75,1.55,0
2013011522,-4.375,2.475,0
2013011523,-4.25,1.675,0
2013011503,-6.05,1.725,0
2013011504,-6.225,1.75,0
2013011505,-6.3,1.825,0
2013011506,-6.45,1.3,0
2013011507,-6.65,0.925,0
2013011508,-6.875,1.8,0
2013011509,-5.95,1.8,0
2013011600,-4.525,2.15,0
2013011601,-5.1,2.375,0
2013011610,-3.375,1.75,0
2013011611,-3.65,1.8,0
2013011612,-2.675,1.8,0
2013011613,-2.3,2,0
2013011614,-1.65,2.4,0
2013011615,-1.9,2.975,0
2013011616,-2.175,2.9,0
2013011617,-2.9,2.475,0
2013011618,-3.875,2.6,0
2013011619,-4.775,2.525,0
2013011602,-4.65,3.35,0
2013011620,-4.825,2.975,0
2013011621,-5.45,2.025,0
2013011622,-6.025,2.525,0
2013011623,-6.475,2.275,0
2013011603,-3.975,3.175,0
2013011604,-3.6,1.925,0
2013011605,-3.4,1.8,0
2013011606,-3.425,1.925,0
2013011607,-3.275,1.65,0
2013011608,-3.175,1.625,0
2013011609,-2.8,2,0
2013011700,-7,2.3,0
2013011701,-8.075,1.925,0
2013011710,-8.725,1.4,0
2013011711,-7.2,0.9,0
2013011712,-6.425,1.05,0
2013011713,-5.825,0.925,0
2013011714,-5.15,1.25,0
2013011715,-5.125,1.875,0
2013011716,-5.225,2.15,0
2013011717,-5.775,2.175,0
2013011718,-6.775,2.05,0
2013011719,-7.6,2.375,0
2013011702,-8.475,1.425,0
2013011720,-8.125,2.5,0
2013011721,-8.675,2.65,0
2013011722,-9.025,2.675,0
2013011723,-9.325,3,0
2013011703,-8.975,1.325,0
2013011704,-9.525,1.825,0
2013011705,-9.7,1.35,0
2013011706,-9.95,1.325,0
2013011707,-10.2,1.75,0
2013011708,-10.425,2.125,0
2013011709,-9.9,1.45,0
2013011800,-9.775,3,0
2013011801,-10.4,2.725,0
2013011810,-7.35,1.6,0
2013011811,-5.475,1.275,0
2013011812,-3.9,1.125,0
2013011813,-3.375,1.3,0
2013011814,-2.9,1.95,0
2013011815,-2.375,2.8,0
2013011816,-2.2,2.55,0
2013011817,-2.625,2.525,0
2013011818,-4.325,2.35,0
2013011819,-4.825,2.025,0
2013011802,-10.275,3.25,0
2013011820,-4.775,2.025,0
2013011821,-5.125,1.95,0
2013011822,-5.425,1.75,0
2013011823,-4.9,2.225,0
2013011803,-10.875,3.325,0
2013011804,-10.125,2.7,0
2013011805,-10.4,2.85,0
2013011806,-10.4,2.225,0
2013011807,-10.375,3.175,0
2013011808,-10.475,2.475,0
2013011809,-9.85,1.875,0
2013011900,-4.95,2.575,0
2013011901,-4.7,2.2,0
2013011910,-1.5,1.825,0
2013011911,-0.3,1.8,0
2013011912,0.7,1.4,0
2013011913,1.15,2.3,0
2013011914,1.475,2.125,0
2013011915,1.875,1.9,0
2013011916,1.925,2.3,0
2013011917,0.925,1.625,0
2013011918,-0.75,1.4,0
2013011919,-1.45,1.45,0
2013011902,-4.55,2.425,0
2013011920,-1.7,1.8,0
2013011921,-2.075,1.55,0
2013011922,-2.275,1.25,0
2013011923,-2.6,1.3,0
2013011903,-4.55,2.35,0
2013011904,-4.225,2.4,0
2013011905,-4,2.15,0
2013011906,-3.65,2.125,0
2013011907,-3.275,1.875,0
2013011908,-3.35,2.025,0
2013011909,-2.825,2.125,0
2013012000,-2.8,1.45,0
2013012001,-3.1,1.8,0
2013012010,-1.4,3.025,0
2013012011,-0.575,2.85,0
2013012012,1.075,2.9,0
2013012013,1.55,2.275,0
2013012014,2.225,2.1,0
2013012015,2.425,1.725,0
2013012016,2.55,1.8,0
2013012017,2.625,2.95,0
2013012018,2.425,2.125,0
2013012019,2.3,2.55,0
2013012002,-2.925,1.175,0
2013012020,2.3,2.325,0
2013012021,2.775,2.425,0
2013012022,2.775,2.825,0
2013012023,2.8,2.325,0
2013012003,-3.3,0.575,0
2013012004,-3.325,1.575,0
2013012005,-2.625,1.575,0
2013012006,-2.85,2.425,0
2013012007,-2.2,2.125,0
2013012008,-1.975,2.175,0
2013012009,-2.225,3.125,0
2013012100,2.875,2.55,0
2013012101,3.025,2.575,0
2013012110,1.475,4.175,2.375
2013012111,1.75,4.4,0.625
2013012112,2.15,2.675,1.375
2013012113,2.375,1.95,1.375
2013012114,2.2,1.55,1.625
2013012115,2.125,1.375,1.875
2013012116,2.25,0.95,2.125
2013012117,2.275,1.1,1.125
2013012118,2.3,1.9,0.5
2013012119,2.05,2.15,0.5
2013012102,2.975,2.6,0
2013012120,1.825,2.25,0.25
2013012121,1.65,1.625,0.375
2013012122,1.55,1.55,0
2013012123,1.525,1.7,0
2013012103,2.6,2.05,0
2013012104,1.775,2.275,0
2013012105,1.5,2.375,0.125
2013012106,1.125,3.55,1.125
2013012107,1.1,4.025,1.25
2013012108,1.2,4,1.75
2013012109,1.25,3.625,2.125
2013012200,1.45,1.775,0
2013012201,1.05,1.15,0.125
2013012210,1.225,0.75,0
2013012211,2.025,0.575,0
2013012212,2.6,0.65,0
2013012213,2.875,0.525,0
2013012214,3.175,0.625,0
2013012215,2.95,0.925,0
2013012216,2.8,1.425,0
2013012217,2.725,1.35,0
2013012218,2.175,1.975,0
2013012219,1.8,2.2,0
2013012202,0.975,2.1,0
2013012220,1.925,1.825,0
2013012221,1.65,2,0
2013012222,1.7,2,0
2013012223,1.6,1.7,0
2013012203,0.825,1,0
2013012204,0.725,1.5,0
2013012205,0.475,1.55,0
2013012206,0.4,1.55,0
2013012207,0.475,1.35,0
2013012208,0.475,0.675,0
2013012209,0.6,0.425,0
2013012300,1.55,1.85,0
2013012301,1.3,2,0
2013012310,0.45,1.975,0.125
2013012311,0.725,2.075,0.125
2013012312,0.9,1.35,0
2013012313,1.025,0.825,0.375
2013012314,1.125,1.3,0
2013012315,0.85,1.925,0
2013012316,0.85,1.475,0
